position,link,company,location,status,salary,company_cleaned,min_salary,max_salary,city,state,City_x,Salary 10th Percentile (for the city),Salary 25th Percentile (for the city),Salary 50th Percentile (for the city),Salary 75th Percentile (for the city),Salary 90th Percentile (for the city),City_y,Price To Income Ratio,H1B
Data Scientist,https://www.indeed.com/rc/clk?jk=dd60a69f8f6a7bd7&fccid=117fe8201a62d501&vjs=3,Expertise France,Remote,"Posted
Just posted",95.3K - 121K,expertise france,95300.0,121000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,No
Data Analyst,https://www.indeed.com/rc/clk?jk=2adc7a5a2e0c5508&fccid=dd616958bd9ddc12&vjs=3,Court Avenue,"Cincinnati, OH","Posted
Just posted",70000 - 90000,court avenue,70000.0,90000.0,cincinnati,OH,cincinnati,59484.0,66467.0,74138.0,80576.0,86437.0,cincinnati,4.6,No
Data Scientist,https://www.indeed.com/rc/clk?jk=c898520685fe7382&fccid=77426fa86bb11d7c&vjs=3,Abbott Laboratories,"Alameda, CA","Posted
Today",82100 - 164100,abbott laboratories,82100.0,164100.0,alameda,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Machine Learning Infra Engineer,https://www.indeed.com/rc/clk?jk=940d20ee4c5e7c69&fccid=74a4b2141032dade&vjs=3,Cyberjin,Remote,"Posted
Today",112K - 142K,cyberjin,112000.0,142000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
"Research Engineer, Language - Generative AI",https://www.indeed.com/rc/clk?jk=6d3bb01d76d8cacd&fccid=ba07516c418dda52&vjs=3,Meta,"New York, NY","Posted
Today",143000 - 204000,meta,143000.0,204000.0,new york,NY,new york,71473.0,79864.0,89081.0,96816.0,103859.0,new york,10.2,Yes
Deep Learning Engineer,https://www.indeed.com/rc/clk?jk=75abc39455d5248f&fccid=74a4b2141032dade&vjs=3,Cyberjin,Remote,"Posted
Today",121K - 153K,cyberjin,121000.0,153000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
"Research Engineer, Language - Generative AI",https://www.indeed.com/rc/clk?jk=ef115402ab9da839&fccid=ba07516c418dda52&vjs=3,Meta,"San Francisco, CA 94105 
(Financial District/South Beach area)","Posted
Today",143000 - 204000,meta,143000.0,204000.0,san francisco,CA,san francisco,76035.0,84962.0,94767.0,102996.0,110488.0,san francisco,7.8,Yes
"Core Tech TPM, Data and ML",https://www.indeed.com/rc/clk?jk=bcfc8e90e336ee68&fccid=ba07516c418dda52&vjs=3,Meta,"Burlingame, CA 94010","Posted
Today",132000 - 196000,meta,132000.0,196000.0,burlingame,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Senior Data Analyst,https://www.indeed.com/rc/clk?jk=cc281a5846c5ed14&fccid=0abc6a7f3eeb0e57&vjs=3,GoldenWolf,Hybrid remote in Virginia,"Posted
Today",84.5K - 107K,goldenwolf,84500.0,107000.0,hybrid remote in virginia,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Machine Learning Lead Engineer - Startup Founder,https://www.indeed.com/company/Founding-Teams/jobs/Machine-Learning-Engineer-281d1573bc721c10?fccid=8e5d2b0704ea9f81&vjs=3,Founding Teams,Remote,"Posted
Today",105K - 133K,founding teams,105000.0,133000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,No
Deep Learning Engineer,https://www.indeed.com/rc/clk?jk=391791f901364af4&fccid=74a4b2141032dade&vjs=3,Cyberjin,"Hybrid remote in Washington, DC","Posted
Today",122K - 155K,cyberjin,122000.0,155000.0,hybrid remote in washington,DC,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Research Engineer, Language - Generative AI",https://www.indeed.com/rc/clk?jk=6cc126a70d061559&fccid=ba07516c418dda52&vjs=3,Meta,"Menlo Park, CA 94025","Posted
Today",143000 - 204000,meta,143000.0,204000.0,menlo park,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
WEB APPLICATIONS DEV LEAD - AI SOFTWARE ENGINEER SR- INFORMATION TECHNOLOGY,https://www.indeed.com/rc/clk?jk=0c34e8f6ddc74cee&fccid=8ae3775d2761f8ea&vjs=3,Hoag Memorial Hospital Presbyterian,"Newport Beach, CA 92663","Posted
Today",55.75 - 85.74 an hour,hoag memorial hospital presbyterian,115960.0,178339.19999999998,newport beach,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Data Scientist / Senior Data Scientist,https://www.indeed.com/rc/clk?jk=f44708b24b855ea8&fccid=d8d5956326aafea1&vjs=3,Sonasoft Corp.,"Menlo Park, CA","Posted
Today",160000 - 225000,sonasoft corp,160000.0,225000.0,menlo park,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Senior Data Scientist,https://www.indeed.com/rc/clk?jk=a6dbb6d1ed85dbbe&fccid=0e8f04b45c1591f5&vjs=3,PG&E Corporation,"Hybrid remote in Oakland, CA 94612","Posted
Today",148K - 187K,pge corporation,148000.0,187000.0,hybrid remote in oakland,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=d5e09ae15036c29b&fccid=1ea0475711674f3b&vjs=3,"Fiserv, Inc.","Lincoln, NE 68512","Posted
Today",94.2K - 119K,fiserv inc,94200.0,119000.0,lincoln,NE,lincoln,57001.0,63694.0,71044.0,77213.0,82830.0,Not Applicable,Not Applicable,Yes
Ecological Modeler/Biodiversity Data Scientist (Remote),https://www.indeed.com/rc/clk?jk=3b920cd3a491f793&fccid=95e47f9839872424&vjs=3,NatureServe,"Remote in Arlington, VA","Posted
Today",80000 - 85000,natureserve,80000.0,85000.0,remote in arlington,VA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Grace Hopper 2023: Data Scientist,https://www.indeed.com/rc/clk?jk=f1d5e0ec25ee5b13&fccid=b6add0e6a71f1008&vjs=3,Chewy,"Plantation, FL","Posted
Today",107K - 136K,chewy,107000.0,136000.0,plantation,FL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
