,position,link,company,location,status,salary,company_cleaned,min_salary,max_salary,city,state
0,AI Python Developer,https://www.indeed.com/rc/clk?jk=721d932d5bc17d5f&fccid=b5004022cc4c31b1&vjs=3,Expedient,"Hybrid remote in Pittsburgh, PA 15212","Posted
Just posted",60000 - 100000,expedient,60000.0, 100000,Hybrid remote in Pittsburgh,PA
1,"Senior Site Reliability Engineer, Series B AI Startup",https://www.indeed.com/rc/clk?jk=e6d38832f4f12831&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Pittsburgh, PA 15213 
(North Oakland area)","Posted
Just posted",130000 - 170000,recruiting from scratch,130000.0, 170000,Pittsburgh,PA
7,DATA SCIENTIST,https://www.indeed.com/rc/clk?jk=cd7eb8e0f0b6be77&fccid=c3b8389ba1f05d96&vjs=3,U.S. Army Cyber Command,"Pittsburgh, PA","Posted
Posted 5 days ago",71402 - 132296,us army cyber command,71402.0, 132296,Pittsburgh,PA
8,Data Scientist - Sr. Data Scientist,https://www.indeed.com/rc/clk?jk=0ff0de57763b2db9&fccid=08ff885501822d01&vjs=3,FedEx Ground Careers US,"Moon, PA 15108","Posted
Posted 6 days ago",89024 - 170352,fedex ground careers us,89024.0, 170352,Moon,PA
9,"Senior Director of Data, Reporting, and Compliance",https://www.indeed.com/rc/clk?jk=897e3f4785f7f642&fccid=345df65f9aa9d884&vjs=3,Propel Schools,"Pittsburgh, PA 15203 
(Southside Flats area)","Posted
Posted 6 days ago",95000 - 105000,propel schools,95000.0, 105000,Pittsburgh,PA
17,Machine Learning Quant Analytics & Model Development Analyst,https://www.indeed.com/rc/clk?jk=6a12c18a35c7eb4a&fccid=b1330bfa6e5aae73&vjs=3,PNC Financial Services Group,"Pittsburgh, PA 15201 
(Central Lawrenceville area)","Posted
Posted 11 days ago",80000 - 135000,pnc financial services group,80000.0, 135000,Pittsburgh,PA
18,Data Visualization Associate,https://www.indeed.com/rc/clk?jk=4da1f196e2de2b82&fccid=dd616958bd9ddc12&vjs=3,The Intelligence & Security Academy,"Zelienople, PA 16063","Employer
Active 5 days ago",50000 - 65000,the intelligence  security academy,50000.0, 65000,Zelienople,PA
20,"Director, IT Data Architecture and Strategy",https://www.indeed.com/rc/clk?jk=411caa35bda51b93&fccid=68ec8a8ee6cf5ac6&vjs=3,Xylem,"Pittsburgh, PA 15236","Posted
Posted 8 days ago",132000 - 237000,xylem,132000.0, 237000,Pittsburgh,PA
22,"Founding Fullstack Engineer, AI Startup",https://www.indeed.com/rc/clk?jk=344261ed3b48f051&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Hybrid remote in Pittsburgh, PA 15213","Posted
Posted 9 days ago",100000 - 200000,recruiting from scratch,100000.0, 200000,Hybrid remote in Pittsburgh,PA
23,"Founding Machine Learning Engineer, Seed Startup",https://www.indeed.com/rc/clk?jk=adf22a2ccb173827&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Pittsburgh, PA 15213 
(North Oakland area)","Posted
Posted 10 days ago",130000 - 180000,recruiting from scratch,130000.0, 180000,Pittsburgh,PA
26,Advanced Financial Data Analyst,https://www.indeed.com/rc/clk?jk=9a9a6027e6adbb91&fccid=fe4d8b80f2de6f30&vjs=3,"Bechtel Plant Machinery, Inc.","Monroeville, PA","Posted
Posted 16 days ago",64416 - 144672,bechtel plant machinery,64416.0, 144672,Monroeville,PA
35,General Kipo | Senior ML Engineer,https://www.indeed.com/rc/clk?jk=9465c94be187f5e2&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Remote in Pittsburgh, PA 15213","Posted
Posted 19 days ago",140000 - 180000,recruiting from scratch,140000.0, 180000,Remote in Pittsburgh,PA
37,Data Scientist,https://www.indeed.com/rc/clk?jk=925d979eac1d319f&fccid=156c7820d1988640&vjs=3,SAP,"Pittsburgh, PA 15212","Posted
Posted 26 days ago",82170 - 139680,sap,82170.0, 139680,Pittsburgh,PA
39,Data Scientist IV,https://www.indeed.com/rc/clk?jk=f6418f743a2b1f66&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 26 days ago",86502 - 108127,the university of pittsburgh,86502.0, 108127,Pittsburgh,PA
48,Staff Data Scientist,https://www.indeed.com/rc/clk?jk=929b3ef315317e5e&fccid=ef4be98af276034b&vjs=3,Kraft Heinz Company,"Hybrid remote in Pittsburgh, PA","Posted
Posted 30+ days ago",110200 - 137800,kraft heinz company,110200.0, 137800,Hybrid remote in Pittsburgh,PA
57,Manager - Performance Analytics,https://www.indeed.com/rc/clk?jk=caeffd1a3f6b3f88&fccid=ed751ece28d56e2f&vjs=3,Pittsburgh Regional Transit,"Pittsburgh, PA 15222 
(Strip District area)","Posted
Posted 30+ days ago",94044 - 141060,pittsburgh regional transit,94044.0, 141060,Pittsburgh,PA
60,Bioinformatician,https://www.indeed.com/rc/clk?jk=14b892c42854154b&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 30+ days ago",53617 - 71489,the university of pittsburgh,53617.0, 71489,Pittsburgh,PA
81,Senior Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=bad6bf847e86dd86&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Pittsburgh, PA 15213 
(North Oakland area)","Posted
Posted 30+ days ago",140000 - 180000,recruiting from scratch,140000.0, 180000,Pittsburgh,PA
97,People Data Governance and Analytics Director,https://www.indeed.com/rc/clk?jk=e2ae3af82711569b&fccid=0ab42c4503235145&vjs=3,Fortive Corporate,"Pittsburgh, PA","Posted
Posted 30+ days ago",140600 - 261200,fortive corporate,140600.0, 261200,Pittsburgh,PA
104,"Principal, Model Risk Management",https://www.indeed.com/rc/clk?jk=78c7f06e1d124cf0&fccid=b4048be2884af072&vjs=3,BNY Mellon,"Pittsburgh, PA 15219 
(Central Business District area)","Posted
Posted 30+ days ago",125000 - 175000,bny mellon,125000.0, 175000,Pittsburgh,PA
105,"Senior Principal, Model Risk Management",https://www.indeed.com/rc/clk?jk=41b308651bb6f49d&fccid=b4048be2884af072&vjs=3,BNY Mellon,"Pittsburgh, PA 15219 
(Central Business District area)","Posted
Posted 30+ days ago",175000 - 225000,bny mellon,175000.0, 225000,Pittsburgh,PA
106,"Senior Principal, Model Risk Management",https://www.indeed.com/rc/clk?jk=c063e5bd76a34078&fccid=b4048be2884af072&vjs=3,The Bank of New York Mellon Corporation,"Pittsburgh, PA","Posted
Posted 30+ days ago",175000 - 225000,the bank of new york mellon,175000.0, 225000,Pittsburgh,PA
107,Statistician | The Center for Sleep and Circadian Science (CSCS),https://www.indeed.com/rc/clk?jk=cc49e3c06323fb86&fccid=b75dda97eecc3e82&vjs=3,UPMC,"Pittsburgh, PA 15213 
(North Oakland area)","Posted
Posted 30+ days ago",30.06 - 50.63 an hour,upmc,62524.799999999996,105310.40000000001,Pittsburgh,PA
108,Lead Data Engineer – Enterprise Data,https://www.indeed.com/rc/clk?jk=7830512502b2b21d&fccid=55a2bdb0a91b873d&vjs=3,DICK'S Sporting Goods,"Coraopolis, PA 15108","Posted
Posted 30+ days ago",95200 - 158800,dicks sporting goods,95200.0, 158800,Coraopolis,PA
110,Bioinformatics Senior Research Specialist,https://www.indeed.com/rc/clk?jk=1314e30dbbaaf105&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 30+ days ago",46644 - 76440,the university of pittsburgh,46644.0, 76440,Pittsburgh,PA
113,"Lead Software Engineer, Data Engineering",https://www.indeed.com/rc/clk?jk=3a62baf2d607d717&fccid=b716e44d2c6283e7&vjs=3,S&P Global,"Carnegie, PA 15106","Posted
Posted 30+ days ago",85300 - 170000,sp global,85300.0, 170000,Carnegie,PA
